	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
CTSZ	558.9508	760.127	1183.8189	625.9978
EPCAM	0.6123	375.5292	281.2337	433.1402
MARCKSL1	322.7643	325.6031	459.3208	523.9311
TSPAN8	0.5766	211.009	239.491	93.4492
PEBP1	384.9883	817.9522	485.4634	772.6566
RPS27A	929.6203	436.9945	441.3546	438.3552
TIMP3	337.5578	821.9151	878.2101	400.762
MYL9	210.7548	586.4197	947.6908	531.1861
MMP2	46.3773	873.3948	817.6459	326.4659
AMY2A	0.049	19.1159	0.5001	56.3493
PTMS	123.1969	684.2709	690.0563	756.5171
CHCHD2	365.9967	432.8533	504.9851	450.3991
APOE	474.586	1296.4219	3847.1721	1054.9076
S100A14	4.2964	84.783	412.5713	66.0889
BST2	695.6221	402.5795	640.7193	238.7297
EEF1B2	827.8936	405.8038	408.9086	405.851
RPL35A	677.7587	388.0545	389.2679	386.1209
MUC1	1.3406	54.3565	162.7598	155.6973
CHGB	0.5437	115.9242	25.2315	26.1838
JUNB	86.6907	313.525	1154.8528	388.4536
FAU	799.3205	360.414	466.1728	364.6434
MMP1	2.5949	19.2286	95.7969	39.5249
APP	137.9564	845.8782	374.3026	693.1204
EIF1	408.7222	413.4895	556.6947	429.5907
DUSP1	282.2551	311.1687	1585.4084	206.4426
BSG	171.9488	370.4225	510.5556	436.7286
KRT7	0.4186	389.0877	262.3907	790.2197
HSP90B1	264.1599	513.6139	429.5424	390.7304
CHMP4B	258.2523	414.9466	512.247	497.6155
FOS	67.7736	137.5435	1340.6479	53.1619
VAMP8	323.445	511.83	601.9955	621.856
CLU	461.2449	601.3063	256.9182	478.2466
HLA-DRB5	697.438	1008.0359	785.6363	927.785
RPS5	569.4684	347.425	402.6607	417.7854
ELOB	190.3359	290.8447	511.3181	347.9042
TMBIM6	306.3496	471.6132	361.6519	417.2549
ANXA2	52.803	371.7854	434.5384	383.9137
MYL6	276.0955	522.6667	637.1178	590.3821
PIGR	1.8292	351.4788	98.9203	111.6147
CST3	215.5659	290.8823	501.5883	275.6386
RPSA	748.7155	403.4406	327.5574	490.3115
RPL34	715.65	358.1528	389.4005	428.6864
PTTG1IP	147.467	424.4253	400.1906	494.205
C1QA	1674.6135	941.0487	1410.2415	637.3259
SLC25A5	341.9465	428.9745	318.9748	440.3446
RPS28	842.0602	330.1472	448.9218	354.6421
RPS15	491.3165	217.0703	482.9851	325.4469
H1-0	46.4562	414.0286	342.1686	357.1021
APOD	7.6803	688.6273	442.3931	406.9724
RHOB	230.2204	347.6186	868.7921	385.138
RPL28	664.1744	250.2587	447.6594	329.8916
TSPO	101.2315	234.4264	477.8239	347.2612
LAMB3	7.4041	124.5983	292.8988	166.192
CAPNS1	232.2994	363.8813	437.8837	540.1648
IGFBP3	230.0483	364.552	418.2496	115.2042
TCN1	0.558	92.8616	342.3769	28.4648
TUBB	398.5195	549.7508	515.666	578.5908
TSPAN1	2.0011	25.9372	166.6901	37.0498
DEFB1	0	993.0917	187.1208	1091.094
CTSB	242.4878	525.6581	1065.2959	463.4083
MSLN	0.2156	1.3841	324.8145	7.2682
CFL1	365.054	389.8569	518.8784	570.6066
RPS14	553.1197	335.3195	406.1974	369.5741
C1QB	1256.1364	986.1029	1808.991	664.0017
RPL31	582.9738	321.549	402.3391	313.9472
PDIA3	189.4643	361.3971	330.5545	315.6679
FLNA	352.2041	639.0433	639.9301	622.1658
RAC1	137.4778	403.6892	368.3149	406.1908
OST4	346.0843	334.3173	544.4131	271.8857
CYSTM1	28.6937	180.259	230.8836	198.7309
COL6A1	225.6595	371.3357	640.8393	380.2643
BRK1	333.0722	454.1517	411.3828	435.5479
HMGA1	251.2815	97.2247	191.6799	123.9692
P4HB	190.1611	346.6975	342.2142	365.9525
BHLHE40	69.5851	204.377	397.2396	171.8578
ACTN4	210.2826	343.1214	366.1771	428.8189
SERPINE1	8.7806	413.6423	1262.3507	174.8733
RPS24	384.0349	320.0542	339.013	317.8677
NOP10	221.7495	357.012	451.849	375.111
SFN	5.6165	14.9735	362.6746	29.2706
RPL6	570.0998	403.9224	349.2778	455.4928
CAP1	384.7917	438.1199	456.2371	424.3786
JCHAIN	324.2681	285.3185	77.182	81.1307
CPE	21.3473	235.2441	142.3767	108.4209
RPL37A	477.8022	275.1444	373.7981	270.1464
SDC1	9.3687	145.0979	279.3898	122.8989
TUBB4B	136.1779	171.8463	336.2245	222.5195
RHOA	382.6305	442.8317	423.0812	446.3605
CLDN18	0.1252	2.9859	158.3156	1.6803
APOL1	106.7603	151.869	533.2428	131.4644
NDUFB7	241.9523	313.8139	463.5568	330.121
JUP	41.3025	294.2462	365.2033	404.531
RPS20	677.0321	301.2005	410.9635	331.1619
RPN2	205.1329	394.8513	293.9143	354.5612
PABPC1	534.6002	268.1824	285.1099	309.8773
LSR	37.2158	152.3396	229.1766	277.0633
DSTN	93.605	477.1928	343.8869	459.6308
NBL1	20.6319	327.5408	543.559	230.9593
C1QC	1308.0978	883.6083	1222.6946	637.0369
A2M	269.1285	811.5114	635.0185	652.9061
RPL18A	531.0885	219.3185	353.9711	263.0107
COX6B1	213.29	277.1788	352.4574	308.4811
GNAS	207.0734	265.4201	238.482	299.182
RPL21	793.0554	313.5554	301.7874	201.951
LDHA	88.1404	206.8678	410.0294	299.9214
KDELR1	110.9353	287.0406	354.4862	359.3295
CAPG	108.7146	394.4806	863.8213	514.3833
LAMC2	10.0821	135.4824	216.0203	187.0654
VIM	353.1746	533.7149	753.6174	737.6239
CTSD	180.6622	513.5746	826.3738	491.4197
MDK	64.4082	259.3766	311.3864	294.2624
ISG15	287.234	132.4731	318.03	215.6116
CHGA	0.123	144.6445	38.5396	62.0099
TMEM176B	151.0705	336.5706	482.3242	328.1268
ISLR	69.7438	816.3831	804.0638	493.089
RPS3A	671.0904	288.1084	295.6918	174.5281
OAZ1	484.5259	335.2591	474.0885	389.7243
RPL27A	560.2425	293.9882	358.8707	281.5984
ATP6V0E1	290.8231	442.4052	445.5077	417.0827
MGP	40.7463	550.1811	467.842	245.8567
PSME1	485.7457	345.8616	318.2966	390.517
CLTB	73.5691	130.4691	244.4229	251.8109
UBB	310.3681	317.7739	342.9675	256.8083
TPM2	128.7218	221.1301	637.7386	256.3326
HTRA1	60.548	638.1813	465.9339	516.6938
UBA52	551.3421	304.8214	361.5022	319.333
SERPINF1	64.2234	591.9971	589.1118	302.4128
YWHAZ	214.1951	272.5026	303.27	297.2247
TIMP2	128.3527	465.3384	450.5344	365.6194
PDZK1IP1	2.0809	354.5206	322.1088	530.4623
CXCL14	263.6728	811.6403	492.8099	68.3542
WFDC2	0.9055	138.9166	374.2823	307.921
RPL23	459.5099	310.9997	320.7431	297.233
IFITM2	423.4348	286.1353	394.877	330.9255
APLP2	102.8354	325.9729	326.2415	245.6538
MRFAP1	252.251	369.4689	351.0143	381.2293
CLDN4	1.3448	137.7501	309.8465	250.7353
ARF4	85.6097	329.2991	360.8285	316.9808
COX7C	310.1929	331.0326	288.6468	264.0629
CAVIN1	227.2176	291.7977	700.2123	309.9805
ATF4	284.2142	376.849	277.3615	386.8737
EGR1	59.7613	166.6358	790.379	140.0615
CIB1	242.3345	212.7266	354.1862	299.0524
SRGN	899.3531	386.8513	990.388	236.9705
H3-3B	264.6187	401.9766	351.5208	350.0042
POSTN	2.2295	717.5826	628.3047	512.5732
TMBIM1	55.5431	215.8602	289.4535	226.812
DES	52.9815	4.1116	22.7462	4.3663
YBX1	357.3951	315.79	386.3753	388.5471
SARAF	301.6728	390.8347	273.7442	327.9535
GPX4	206.0649	257.3635	495.6027	413.5133
C1S	198.4457	566.5794	389.7039	427.9368
NNMT	61.8273	341.4347	669.6952	639.1678
PSCA	0.0527	4.1618	8.9217	0.5193
DEPP1	62.8061	259.3708	387.8039	219.6286
YWHAE	166.6186	370.5476	308.6179	396.179
MYL12A	262.3214	280.8275	309.6946	299.459
PDLIM1	253.5873	358.5499	353.0519	486.077
GNB2	204.0844	238.8209	375.7064	309.9495
CD151	65.3856	253.5427	321.0365	342.0266
ST14	33.7987	242.703	356.134	316.623
SPARCL1	191.065	493.677	372.72	301.0127
CANX	160.1636	388.7903	212.6191	278.4043
IFI27	202.0614	30.9696	252.4542	40.0397
JUND	138.1137	182.5158	634.7791	229.4551
EIF4G2	297.3215	399.7996	283.6464	340.6312
SRP14	274.387	358.4116	340.7755	366.8721
NIBAN2	40.2018	353.3494	278.1647	394.357
SF3B5	281.4011	308.9638	329.2596	378.6376
FKBP8	275.3466	242.5103	386.4139	303.0717
RPL15	452.7829	328.8434	284.6143	340.4855
RPL9	479.3086	196.0305	231.291	213.0649
PSMB3	214.7249	250.7815	323.5468	329.2871
HDGF	112.557	248.0779	194.6269	309.7237
COX8A	203.8665	236.7085	251.1523	182.8034
TGM2	41.5468	191.9006	253.3275	144.7315
SURF4	117.4746	270.1026	279.8291	282.5965
PSMB4	271.1858	263.6113	263.9153	309.2643
LMAN2	148.3235	249.6422	266.6552	286.5457
HNRNPK	356.7086	330.7786	247.5171	311.2111
PRDX1	175.9214	396.3786	311.86	262.606
GOLM1	48.5279	192.2106	132.856	162.017
ALDH1A1	68.6633	332.1582	114.993	222.4067
MCL1	262.7891	290.0478	448.6702	220.1283
CELA3B	0	50.4207	6.4716	253.4201
PMEPA1	15.5906	645.4792	203.4868	481.7398
SOD1	182.4992	247.5933	223.1307	219.2645
CCNI	339.0707	323.6641	273.1659	358.499
ECHS1	163.7004	235.3024	267.8449	287.8192
GPRC5A	0.1335	13.0128	244.4617	32.4754
RPN1	114.5217	243.043	255.2363	271.4589
ITGB4	45.4299	73.3344	126.249	101.425
CSDE1	287.2476	360.0209	256.4755	324.2641
SEC61A1	129.3667	254.3911	239.2927	291.1447
PDIA4	101.9864	232.5313	224.4427	210.2714
SERPING1	90.1882	678.5276	314.9096	624.0145
PSMA7	221.6515	248.7699	323.1599	292.6363
PERP	3.3449	185.0328	111.5637	227.3667
COL6A3	24.0446	580.4708	385.5309	326.2723
NUCB1	166.6007	256.8297	362.9513	278.7253
ITM2C	296.2415	265.1429	205.6354	228.4055
KDELR2	63.9584	195.0488	209.3094	192.9122
RRAS	155.9426	154.2904	347.9692	195.0097
TRMT112	271.7895	205.5169	289.9263	214.8855
COL5A2	15.6278	364.411	498.4346	198.5405
SLC44A4	2.3738	76.2428	118.2883	138.5937
BCAP31	131.8392	200.134	331.4289	228.3854
ACTA2	141.2375	482.3795	555.9569	228.0164
GSN	87.2948	261.5915	355.1334	250.1291
RPL38	459.4457	198.6396	256.6173	204.0871
ARHGDIB	1134.0711	391.0053	501.6078	381.7101
PEA15	194.3975	334.8492	467.2451	344.2175
PGK1	153.846	193.3406	258.9818	172.0022
ANXA1	42.4759	152.1344	319.24	94.3888
XRCC6	254.4087	279.8214	225.4828	252.7698
VDAC1	86.1294	193.3117	217.89	226.4334
C1R	122.4613	376.2808	346.3825	335.5603
COL5A1	18.59	373.5464	493.0864	314.7314
RPL37	396.892	190.7467	224.5578	190.5498
SCG5	1.228	145.2499	62.9503	54.4636
LMNA	48.6926	146.664	382.7404	176.1227
SPINT1	16.4613	284.8561	136.705	430.6969
SNRPD2	237.8576	182.5549	236.8693	192.2372
NDUFB11	166.9358	192.134	236.7212	245.6693
PLVAP	218.6015	330.9591	372.93	448.936
PFDN2	142.7071	148.9464	308.7457	168.6051
ZFP36L1	283.8771	386.8712	312.6695	372.8751
CNBP	308.7097	267.7515	215.8583	239.9142
EFHD2	245.2868	128.5203	343.4284	195.6931
ANP32B	312.6909	244.7814	219.3445	219.1583
PRDX6	185.8628	259.4443	276.9103	258.7667
MSN	454.4278	471.5115	340.6517	509.6832
CCN1	122.3126	260.5129	875.4078	124.3503
CTHRC1	2.2915	418.9174	533.4043	316.1798
CRP	0.0461	243.1084	41.0149	210.4509
SERINC2	5.6301	157.5556	233.9914	214.5134
THBS1	32.8893	407.5514	743.7652	254.4169
ID1	44.4218	27.4109	266.7358	48.9392
SERPINB1	108.648	138.509	141.3132	232.291
XBP1	87.0032	181.163	111.7717	283.0326
YWHAH	79.6572	314.0601	247.3812	373.2838
RTL8C	101.7292	257.1706	374.4214	296.2636
TOMM7	373.9319	236.1431	236.0713	159.4258
DDOST	188.5466	257.3595	209.5715	255.258
TRIR	304.5816	209.6776	279.8776	279.085
SELENOF	206.8126	279.629	225.0159	236.9474
GANAB	201.5129	316.9629	189.5901	260.314
PYGB	58.4955	95.9957	104.7086	98.9948
PPIB	103.1922	241.1206	282.8368	201.4821
RAB25	0.4955	107.0986	96.5782	140.3926
EID1	258.9182	329.1686	258.0289	266.2962
PCSK1N	2.78	32.0821	33.24	17.6662
HNRNPA1	353.7352	262.9709	215.1558	292.58
FXYD5	237.6559	124.1623	219.9846	127.5308
SNRPB	231.6062	170.8348	250.3942	276.5226
CDC42EP1	26.3233	290.0741	213.5084	536.6389
TMED10	120.0299	255.3072	180.67	215.0452
YWHAQ	169.5266	307.5205	231.8064	311.5667
MORF4L2	107.3198	264.018	217.8324	215.6822
CHPF	13.6939	224.3846	379.1432	245.9178
DAP	81.4622	237.5103	148.4484	279.4966
AGPAT2	45.4807	154.4312	269.2282	240.741
RRBP1	58.1665	190.9264	246.8486	250.1918
TUFM	196.2879	183.3813	216.7922	251.3473
PTGES3	172.2221	223.1232	183.7651	210.4143
BEX3	100.6853	294.5836	244.3023	226.4134
ROMO1	115.776	150.8536	267.906	196.2196
SLC39A7	79.5578	226.8304	193.7886	224.7657
ATP6V1F	145.5894	270.5205	451.5378	261.1597
SERINC1	207.9444	300.8486	216.3442	210.4062
AP2M1	148.0712	227.1834	252.2445	249.1835
TAGLN	95.5898	242.6408	556.0319	187.0967
RPS26	416.6737	79.6957	100.9531	70.4194
C1orf43	142.1694	196.1926	171.7534	203.4311
MVP	115.0093	186.3887	236.4353	297.4389
HNRNPF	240.8123	199.3753	182.384	207.1163
S100A9	646.2358	198.6287	336.9756	274.8198
TYROBP	390.2167	523.4031	1007.6922	355.1283
SYNGR2	187.4297	156.0504	188.0453	236.5212
ZYX	157.2918	258.2045	455.1163	379.568
NQO1	6.7295	18.8625	140.8433	17.4529
RARRES2	102.0522	181.4924	435.1251	344.4314
POLR2L	132.7156	154.183	314.6016	175.3307
CST1	0.3199	81.7578	145.6245	45.7194
RPS7	364.8862	179.11	180.8299	231.3107
TNFRSF12A	4.6986	147.4978	318.3579	248.7667
HTRA3	3.5583	261.1219	460.0582	129.9737
GRINA	242.6463	221.4773	350.2732	288.8214
TRAM1	125.7448	277.918	255.2209	285.3726
EIF5A	153.5662	196.1724	274.2449	281.9291
RPL23A	438.3777	134.65	188.1439	93.485
CDH1	18.9549	225.5949	130.2848	235.9579
VAT1	77.4573	324.6063	332.1603	338.7805
CRABP2	2.4924	44.6385	126.0079	42.6152
CSTB	59.0084	117.9824	387.1374	113.9297
PLXNB2	129.1864	215.0157	179.4078	263.0632
AQP1	30.2216	598.5407	337.1043	654.3371
CALM2	193.3297	240.7428	213.4656	229.0764
LAMP1	134.604	258.6282	363.7512	233.1928
TNFRSF21	25.0134	136.5999	146.4763	176.7168
VASP	205.9854	128.2354	242.369	193.6081
CD81	229.8752	372.3405	382.1576	370.0445
MFAP4	155.5908	234.5305	179.4922	49.8907
ACTR2	375.7841	283.5361	234.5079	229.7713
PLAT	3.7819	107.874	263.101	68.6516
PRSS3	0.3263	25.5015	43.0097	32.2408
AGT	1.4063	152.0519	52.3539	123.4295
ITM2B	143.138	300.4114	207.9074	242.165
ARL6IP5	273.9526	393.9241	217.8804	343.1174
BTF3	204.3741	189.825	167.0512	200.6252
ASS1	11.6471	203.7777	120.2292	220.0722
H1-2	34.4744	53.664	106.287	38.9395
CCL21	765.0955	227.5766	86.1954	466.1254
PLP2	66.7285	157.5365	139.4972	247.9663
MAL2	2.218	90.0215	85.4863	98.143
FLOT1	129.8089	191.6419	253.2664	235.1093
TMED9	104.1359	192.5133	238.748	203.9178
IFITM1	269.537	96.9068	218.241	93.5452
REG3G	0.1008	161.8604	46.3374	731.299
DCN	4.2109	344.8342	272.2112	113.9666
ILF2	166.2418	233.3435	169.9883	252.2677
BANF1	163.1085	199.6978	207.7428	251.972
PARK7	170.7758	221.8877	226.8116	243.8923
UQCRH	184.8046	178.7926	160.5196	142.255
ARL6IP1	95.0565	147.2434	196.5705	158.1095
MAGED2	98.2685	260.0308	210.9713	260.975
NOP53	336.918	148.2428	210.7241	231.9867
TMEM14C	130.1603	257.6419	216.4795	236.4598
JUN	75.0298	139.3966	440.047	193.8136
SFRP4	9.5696	344.3531	304.122	70.964
DDX5	529.3668	244.4602	208.8824	229.0242
GDI2	255.0271	250.0431	195.8476	245.5061
CDKN1A	29.8592	203.0179	359.0366	207.2146
SNX3	246.011	287.9837	254.8708	261.8477
F3	5.2521	81.1354	349.6993	83.8359
MYDGF	80.1845	149.3122	230.7142	169.3014
PI3	5.5694	7.13	37.7746	17.5222
GC	0	68.8321	19.0609	28.1275
RPL30	380.2469	141.4855	171.5936	75.9448
MUC13	0.2923	29.6216	25.2085	16.9838
TMED2	80.8128	207.084	143.4482	195.601
CCT3	139.8245	160.8663	161.2645	182.2925
DDIT4	160.087	151.663	152.5277	88.417
